Index,CppName,Name,Wiki,AntiSeoUpperBound,Tags,Description,Authors,Responsibles,Desc,TG_DOC,TG_LINK_GRAPH,TG_STATIC,TG_L2,TG_UNUSED,Group,TG_DOC_TEXT,TG_DYNAMIC,TG_REARR_USE,TG_UNDOCUMENTED,TG_NN_OVER_FEATURES_USE,TG_LINK_TEXT,TG_DEPRECATED,TG_BINARY,TG_OFTEN_ZERO,# TODO(FACTORDEL-65),TG_HOST,TG_BROWSER,TG_USER,TG_USERFEAT_VISITS_ACTIVITY_DOWNLOADS,TG_USERFEAT,TG_QUERY_ONLY,TG_L3_OVERWRITE,# TODO(FACTORDEL-97),TG_LOCALIZED_COUNTRY,TG_THEME_CLASSIF,TG_TRANS,TG_SAMOHOD_UNIMPLEMENTED,TG_CALLISTO_UNIMPLEMENTED,Ticket,ImplementationTime,TG_OWNER,TG_COMMERCIAL,UseArtifact,TG_NEURAL,MinValue,MaxValue,TG_FRESHNESS_USE,TG_QUERY_DETECTOR_PREDICT,TG_NOT_01,TG_ALICE_MUSIC,TG_ANNOTATION_NOFILTER,TG_TEXT_MACHINE,TG_ALLOW_USE_FOR_ALICE,DependsOn,TG_USER_SEARCH,TG_USER_SEARCH_ONLY,TG_DATE,Countries,TG_USER_EXT_DATA,TG_USERFEAT_90D,TG_USERFEAT_CLICKS_SHOWS,TG_FORMULA_2245_DEP_3,CanonicalValue,TG_USER_SEARCH_EXTERNAL,TG_DOWNER,TG_STATIC_REGINFO,# TODO(FACTORDEL-56),TG_URL_TEXT,TG_LOCALIZED_GEOINQUERY,Comment,TG_WIKIPEDIA,TG_LOCALIZED_CITY,TG_DOPP,TG_USERFEAT_USF,TG_LOCALIZED_REGION,TG_CATALOG,TG_UNIMPLEMENTED],,TG_COUNTER,TG_FORMULA_2245_DEP_2,TG_NAV,TG_USERFEAT_238D,TG_FORMULA_2245_DEP_5,TG_REMOVED,TG_USERFEAT_BROWSER_PAGE_RANK,TG_L3_MODEL_VALUE,TG_DOC_CONTENT,TG_RTMODELS_SERVICE,TG_USE_MARKUP,TG_ALL_RELEVANCE_MARKUP,TG_SIN_SIG_MARKUP,TG_BERT_DISTILL,TG_UNIMPLEMENTED,TG_DATA_FROM_BIGRT,TG_SPYLOG_RAPID_CLICKS_BIGRT,TG_USED_IN_CONF_REARR,TG_NO_L3,TG_DATA_FROM_SAASKV,TG_USERFEAT_1600D,TG_USERFEAT_SEARCH_DWELL_TIME,TG_USERFEAT_CLICK_MACHINE,TG_META_OVERWRITE,TG_METRIKA,TG_USERFEAT_30D,TG_DATA_FROM_SAASKV],TG_SEARCH_RAPID_CLICKS_BIGRT,TG_USERFEAT_1832D,TG_ANNOTATION_FILTER,TG_USERFEAT_NHOP,TG_MASCOT,TG_BEAST,TG_USERFEAT_365D,TG_USERFEAT_1D,TG_USERFEAT_SURFING_TREE,TG_SYNNORM,TG_USERFEAT_URL_QUERY_TRIGRAMS,TG_USERFEAT_MULTI_PERIOD,TG_USERFEAT_VISITS_FROM,TG_USERFEAT_USER_HUB,TG_USERFEAT_POPULAR_SE_FRC,TG_USERFEAT_SAME_QUERY_RETURN,TG_USERFEAT_SBM,TG_META,TG_L3,TG_PRS,# ImplementationTime,TG_ALLOW_USE_FOR_SPAM_FORMULAS,TG_USERFEAT_GEOCLICKS,TG_USERFEAT_REVISITS,TG_USERFEAT_REG_SITE_BROWSER,TG_COLLABORATED,TG_USERFEAT_SAMPLE_PERIOD,TG_USERFEAT_USF_SAMPLE_PERIOD,TG_LINGBOOST,TG_USERFEAT_FIELDSET2,TG_USERFEAT_730D,TG_USERFEAT_BROWSER_QUERY_PAGE_RANK_SAMPLE,TG_USERFEAT_BROWSER_QUERY_PAGE_RANK,TG_UNSUPPORTED,TG_USERFEAT_NHOP_SUM_DWELLTIME,TG_FORMULA_2245_DEP_4,TG_REUSABLE,TG_USERFEAT_META_STREAM,TG_USERFEAT_MAX_PERIOD,TG_USERFEAT_USER_BROWSE_LONG_PERIOD_STATIC,TG_KNN,TG_FORMULA_2245_DEP,TG_ALICE_ARAMUSIC,TG_RANDOM_LOG,TG_REMAPPED,TG_TOLOKA,TG_FROZEN,# DependsOn
427,FI_QCLASS_PORNO,QClassPorno,,,"[TG_DYNAMIC, TG_QUERY_ONLY, TG_THEME_CLASSIF, TG_BINARY, TG_REARR_USE, TG_UNDOCUMENTED, TG_L2, TG_DEPRECATED]",порно,agorodilov,agorodilov,porn,,,,True,,Query,,True,True,True,,,True,True,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,"[{Feature: [""QClassPorno""], Slice: ""begemot_query_factors""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,FI_QCLASS_TRAVEL,QClassTravel,,,"[TG_DYNAMIC, TG_QUERY_ONLY, TG_THEME_CLASSIF, TG_BINARY, TG_REARR_USE, TG_UNDOCUMENTED, TG_L2, TG_DEPRECATED]",путешествия,agorodilov,agorodilov,travels,,,,True,,Query,,True,True,True,,,True,True,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,"[{Feature: [""QClassTravel""], Slice: ""begemot_query_factors""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,FI_VIDEO_RATING,VideoRating,http://wiki.yandex-team.ru/JandeksPoisk/KachestvoPoiska/ObshayaFormula/TekushhieKomponenty/VideoRating,,"[TG_DOC, TG_STATIC, TG_DEPRECATED, TG_OFTEN_ZERO]","Популярность видео-ролика, приходит от видео",bort,bort,"The popularity of video, comes from video",True,,True,,,,,,,,,,True,,True,,,,,,,,,,,,,,,VIDEOPOISK-342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdated. Must be eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,FI_PERIODIC_LINK_DATES_PERCENT,PeriodicLinkDatesPercent,,,"[TG_DOC, TG_LINK_GRAPH, TG_STATIC, TG_UNDOCUMENTED, TG_OFTEN_ZERO, TG_L2, TG_UNUSED]",Периодичность ссылок на сайт,dremov,dremov,Frequency of links to the site,True,True,True,True,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,FI_LINK_ALMOST_PERIOD,LinkAlmostPeriod,,,"[TG_DOC, TG_LINK_GRAPH, TG_STATIC, TG_UNDOCUMENTED, TG_OFTEN_ZERO, TG_L2, TG_UNUSED]",Количество почти-периодических ссылок,dremov,dremov,Number of almost-periodic references,True,True,True,True,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,FI_QDOWNER_STAT_POWER,QDOwnerStatPower,,,"[TG_DYNAMIC, TG_DOWNER, TG_DOC, TG_LOCALIZED_COUNTRY, TG_USER, TG_USER_SEARCH, TG_USER_SEARCH_ONLY, TG_USER_EXT_DATA, TG_USER_SEARCH_EXTERNAL, TG_REARR_USE, TG_OFTEN_ZERO, TG_L2, TG_SAMOHOD_UNIMPLEMENTED, TG_NN_OVER_FEATURES_USE, TG_USERFEAT, TG_USERFEAT_90D, TG_USERFEAT_CLICKS_SHOWS, TG_FORMULA_2245_DEP_3, TG_DEPRECATED]","Количество показов owner'а по запросу,  нормировка x/(100 + x).",solar,"[""tarum"", ""niknik""]","The number of impressions by request, normalized x/(100 + x).",True,,,True,,,,True,True,,True,,True,,True,,,,True,,True,,,,True,,,True,,,,,,,,,,,,,,,,,,True,True,,CNT_RELEV,True,True,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,FI_QURL_STAT_POWER,QUrlStatPower,,,"[TG_DYNAMIC, TG_DOC, TG_LOCALIZED_COUNTRY, TG_USER, TG_USER_SEARCH, TG_USER_SEARCH_ONLY, TG_USER_EXT_DATA, TG_REARR_USE, TG_OFTEN_ZERO, TG_USER_SEARCH_EXTERNAL, TG_L2, TG_SAMOHOD_UNIMPLEMENTED, TG_NN_OVER_FEATURES_USE, TG_USERFEAT, TG_USERFEAT_90D, TG_USERFEAT_CLICKS_SHOWS, TG_FORMULA_2245_DEP_3, TG_DEPRECATED]","Количество показов url'а по запросу,  нормировка x/(100 + x).",solar,"[""tarum"", ""niknik""]","The number of impressions of the url on the request, normalized x/(100 + x).",True,,,True,,,,True,True,,True,,True,,True,,,,True,,True,,,,True,,,True,,,,,,,,,,,,,,,,,,True,True,,CNT_RELEV,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,FI_HAS_LIRU_CNT,HasLiRuCounter,,,"[TG_DOC, TG_STATIC, TG_UNDOCUMENTED, TG_L2, TG_NN_OVER_FEATURES_USE]",Наличие счетчика LiveInternet,denplusplus,alsafr,LiveInternet counter,True,,True,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,FI_OWNER_REQS_POPULARITY,OwnerReqsPopularity,https://wiki.yandex-team.ru/jandekspoisk/kachestvopoiska/factordev/web/factors/OwnerReqsPopularity,,"[TG_STATIC, TG_OWNER, TG_USER, TG_USER_SEARCH, TG_USER_SEARCH_ONLY, TG_L2, TG_DEPRECATED]",Популярность owner'а в запросах,denplusplus,"[""diver"", ""akhropov""]",Popularity of the owner in queries,,,True,True,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,FI_DSSM_YA_MUSIC_ASR_EARLY_BINDING_CE,DssmYaMusicASREarlyBindingCe,,,"[TG_DYNAMIC, TG_DOC, TG_USER, TG_USER_SEARCH, TG_URL_TEXT, TG_DOC_TEXT, TG_DOC_CONTENT, TG_NEURAL, TG_UNUSED, TG_ALICE_MUSIC, TG_RTMODELS_SERVICE, TG_ALLOW_USE_FOR_ALICE]","DSSM модель с ранним связыванием, обученная на реформулировках и дообученная на ASR гипотезы музыкальных запросов к Алисе","[""islobodskov"", ""anrodigina""]","[""islobodskov"", ""anrodigina""]","DSSM model with early binding, trained on reformulations, and pre-trained on ASR hypotheses of musical queries to Alice",True,,,,True,,True,True,,,,,,,,,,,True,,,,,,,,,,,BUKI-2960,,,,,True,,,,,,True,,,True,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,FI_DSSM_BERT_DISTILL_SINSIG_CE_COUNTRY_REG_CHAIN,DssmBertDistillSinsigCeCountryRegChain,,,"[TG_DYNAMIC, TG_DOC, TG_USER, TG_USER_SEARCH, TG_URL_TEXT, TG_DOC_TEXT, TG_NEURAL, TG_USE_MARKUP, TG_ALL_RELEVANCE_MARKUP, TG_SIN_SIG_MARKUP, TG_BERT_DISTILL, TG_UNIMPLEMENTED, TG_DEPRECATED]","Модель, обученная на пуле по PRS-логу на предсказание Bert, обученного на sinsig_ce с пороговым значениeм 0.5, с использованием цепочки регионов до страны","[""ivaninap"", ""rmplstiltskin""]","[""ivaninap"", ""rmplstiltskin""]","Model trained on PRS-log pool on Bert's prediction trained on sinsig_ce with a threshold of 0.5, using a chain of regions to country",True,,,,,,True,True,,,,,True,,,,,,True,,,,,,,,,,,FACTOR-2287,,,,"{Name: ""DssmBertDistillSinsigCeCountryRegChain""}",True,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,FI_DSSM_YA_MUSIC_EARLY_BINDING_CE,DssmYaMusicEarlyBindingCe,,,"[TG_DYNAMIC, TG_DOC, TG_USER, TG_USER_SEARCH, TG_URL_TEXT, TG_DOC_TEXT, TG_DOC_CONTENT, TG_NEURAL, TG_UNDOCUMENTED, TG_UNUSED, TG_ALICE_MUSIC, TG_RTMODELS_SERVICE, TG_ALLOW_USE_FOR_ALICE]","DSSM модель с ранним связыванием, обученная на реформулировках и дообученная на музыкальные запросы к Алисе",islobodskov,islobodskov,"DSSM model with early binding, trained on reformulations and retrained on music requests to Alice",True,,,,True,,True,True,,True,,,,,,,,,True,,,,,,,,,,,BUKI-2950,2020-03-17,,,,True,,,,,,True,,,True,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,FI_SECOND_INDEG_DISTR_XI,SecondIndegDistrXi,,,"[TG_LINK_GRAPH, TG_OWNER, TG_STATIC, TG_DEPRECATED, TG_UNDOCUMENTED]","Одиннадцать факторов основанных на статистических свойствах распределений входящих степеней вершин, ссылающихся на фиксированную вершину хостграфа.((http://wiki.yandex-team.ru/JandeksPoisk/KachestvoPoiska/ObshayaFormula/TekushhieKomponenty/hostdegree подробнее))",filimonov,alsafr,Eleven factors based on statistical properties of the distributions of incoming vertex degrees referring to a fixed vertex of the hostgraph.((http://wiki.yandex-team.ru/JandeksPoisk/KachestvoPoiska/ObshayaFormula/TekushhieKomponenty/hostdegree details)),,True,True,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,FI_PIRACY_DETECTOR_PREDICT,PiracyDetectorPredict,,,"[TG_DYNAMIC, TG_QUERY_ONLY, TG_USER, TG_L2, TG_QUERY_DETECTOR_PREDICT, TG_NOT_01, TG_UNUSED]","Значение детектора пиратскости, рассчитываемого в бегемоте.","[""alejes"", ""hygge""]","[""alejes"", ""hygge""]",The value of the pirate detector calculated in behemoth.,,,,True,True,,,True,,,,,,,,,,,True,,,True,,,,,,,,COMMERCIAL-4,2020-08-17,,,,,-10,10,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,FI_ALICE_MUSIC_URL_TYPE_IS_ALBUM,AliceMusicUrlTypeIsAlbum,,,"[TG_DOC, TG_ALICE_MUSIC, TG_URL_TEXT, TG_BINARY, TG_NN_OVER_FEATURES_USE]",Тип канонизированного урла яндекс музыки - альбом,"[""anrodigina"", ""gotmanov""]","[""anrodigina"", ""gotmanov""]",Yandex music canonized url type - album,True,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,BUKI-2932,2020-03-11,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,FI_FIRST_VALID_TS_10DAYS,FirstValidTs10Days,,,"[TG_DATE, TG_DOC, TG_STATIC, TG_FRESHNESS_USE, TG_L2, TG_NN_OVER_FEATURES_USE]",Считается как (10-x) где x — возвраст документа в днях (непрерывно) относительно времени валидности документа в самоваре,alejes,alejes,Calculated as (10-x) where x is the return of the document in days (continuous) relative to the validity time of the document in the samovar,True,,True,True,,Datetime,,,,,True,,,,,,,,,,,,,,,,,,,WEBFRESH-695,2020-09-27,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,FI_HOST_IN_QUERY,HostInQuery,,,"[TG_DYNAMIC, TG_HOST, TG_URL_TEXT, TG_BINARY, TG_OFTEN_ZERO, TG_L2, TG_UNUSED]",Хост документа распознан в запросе,alejes,alejes,Document host recognized in query,,,,True,True,,,True,,,,,,True,True,,True,,,,,,,,,,,,,WEBFRESH-623,2020-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,FI_VITAL_HOST_IN_QUERY,VitalHostInQuery,,,"[TG_DYNAMIC, TG_DOC, TG_URL_TEXT, TG_BINARY, TG_OFTEN_ZERO, TG_L2, TG_UNUSED]","URL состоит только из хоста, который распознан в запросе",alejes,alejes,The URL consists only of the host that is recognized in the request,True,,,True,True,,,True,,,,,,True,True,,,,,,,,,,,,,,,WEBFRESH-623,2020-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,FI_YANDEX_NEWS_STORY_URL,YandexNewsStoryUrl,,,"[TG_DYNAMIC, TG_DOC, TG_URL_TEXT, TG_BINARY, TG_OFTEN_ZERO, TG_L2, TG_UNUSED]",URL является сюжетом Яндекс новостей,"[""hygge"", ""alejes""]","[""hygge"", ""alejes""]",URL is a Yandex news story,True,,,True,True,,,True,,,,,,True,True,,,,,,,,,,,,,,,WEBFRESH-685,2020-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,FI_RC_SPYLOG_URL_RATIONAL_SIGMOID_D1T240,RcSpylogUrlRationalSigmoidD1T240,,,"[TG_STATIC, TG_DOC, TG_USER, TG_BROWSER, TG_L2, TG_DATA_FROM_BIGRT, TG_UNDOCUMENTED, TG_UNIMPLEMENTED, TG_UNUSED]",URL feature computed from rapid clicks spy_log counters with decay of 1 day,"[""skorodumov-s""]","[""skorodumov-s"", ""tarum""]",URL feature computed from rapid clicks spy_log counters with decay of 1 day,True,,True,True,True,RapidClicks,,,,True,,,,,,,,True,True,,,,,,,,,,,USERFEAT-1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,FI_RC_SPYLOG_URL_RATIONAL_SIGMOID_D1T240_FROZEN,RcSpylogUrlRationalSigmoidD1T240Frozen,,,"[TG_STATIC, TG_DOC, TG_USER, TG_BROWSER, TG_L2, TG_DATA_FROM_BIGRT, TG_UNDOCUMENTED, TG_SPYLOG_RAPID_CLICKS_BIGRT, TG_NN_OVER_FEATURES_USE]",URL feature computed from rapid clicks spy_log counters with decay of 1 day,"[""skorodumov-s""]","[""skorodumov-s"", ""tarum""]",URL feature computed from rapid clicks spy_log counters with decay of 1 day,True,,True,True,,RapidClicks,,,,True,True,,,,,,,True,True,,,,,,,,,,,USERFEAT-1493,2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,FI_RC_SPYLOG_URL_RATIONAL_SIGMOID_D0_5T30,RcSpylogUrlRationalSigmoidD0_5T30,,,"[TG_STATIC, TG_DOC, TG_USER, TG_BROWSER, TG_L2, TG_DATA_FROM_BIGRT, TG_UNDOCUMENTED, TG_UNIMPLEMENTED, TG_UNUSED]",URL feature computed from rapid clicks spy_log counters with decay of 0.5 days,"[""skorodumov-s""]","[""skorodumov-s"", ""tarum""]",URL feature computed from rapid clicks spy_log counters with decay of 0.5 days,True,,True,True,True,RapidClicks,,,,True,,,,,,,,True,True,,,,,,,,,,,USERFEAT-1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,FI_RC_SPYLOG_URL_RATIONAL_SIGMOID_D0_5T30_FROZEN,RcSpylogUrlRationalSigmoidD0_5T30Frozen,,,"[TG_STATIC, TG_DOC, TG_USER, TG_BROWSER, TG_L2, TG_DATA_FROM_BIGRT, TG_UNDOCUMENTED, TG_SPYLOG_RAPID_CLICKS_BIGRT, TG_NN_OVER_FEATURES_USE]",URL feature computed from rapid clicks spy_log counters with decay of 0.5 day,"[""skorodumov-s""]","[""skorodumov-s"", ""tarum""]",URL feature computed from rapid clicks spy_log counters with decay of 0.5 day,True,,True,True,,RapidClicks,,,,True,True,,,,,,,True,True,,,,,,,,,,,USERFEAT-1493,2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,FI_TIMESTAMP,Timestamp,,,"[TG_DATE, TG_DOC, TG_STATIC, TG_REARR_USE, TG_FRESHNESS_USE, TG_UNUSED]","Считаются как (80 - x) / 80, где x — возраст документа в часах. Факторы имеют смысл только для базы быстробота (последние 80 часов). Не используются в ранжировании. Используются в переранжировании.",melton,"[""melton"", ""alsafr""]","They are calculated as (80 - x) / 80, where x is the age of the document in hours. The factors make sense only for the quickbot base (the last 80 hours). They are not used in ranking. They are used in reranking.",True,,True,,True,Datetime,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,FI_ADD_TIME_FULL,AddTimeFull,,,"[TG_DATE, TG_DOC, TG_STATIC, TG_REARR_USE, TG_FRESHNESS_USE, TG_UNUSED]","Считаются как (80 - x) / 80, где x — возраст документа в часах. Факторы имеют смысл только для базы быстробота (последние 80 часов). Не используются в ранжировании. Используются в переранжировании.",melton,"[""melton"", ""alsafr""]","They are calculated as (80 - x) / 80, where x is the age of the document in hours. The factors make sense only for the quickbot base (the last 80 hours). They are not used in ranking. They are used in reranking.",True,,True,,True,Datetime,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,FI_SWBM25,Swbm25,http://wiki.yandex-team.ru/SWBM25,,"[TG_DOC, TG_DOC_TEXT, TG_DYNAMIC, TG_DEPRECATED]",Хитрый BM25 в скользящем окне. Размер окна задается в предложениях. Используются «джокеры» для заголовков и начала документа. Учитывается морфологическая близость и структура текста. Вес окна затухает с удалением от начала документа.,alsafr,alsafr,"The clever BM25 in a sliding window. The window size is set in sentences. Use ""jokers"" for titles and the beginning of the document. Morphological proximity and text structure are taken into account. The weight of the window fades with distance from the beginning of the document.",True,,,,,SWBM25,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,FI_PLM,PositionLanguageModel,http://wiki.yandex-team.ru/JandeksPoisk/KachestvoPoiska/ObshayaFormula/TekushhieKomponenty/PositionLanguageModel,,"[TG_DOC, TG_DOC_TEXT, TG_DYNAMIC, TG_REARR_USE, TG_DEPRECATED]","Фактор про то, наскоько хороший сниппет может получиться.",,alsafr,Factor about how good a snippet can get.,True,,,,,PositionLanguageModel,True,True,True,,,,True,,,,,,,,,,,,,,,,,COMBPROLAB-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,FI_TEXT_PAIR_W1,TxtPair_W1,,,"[TG_DOC, TG_DOC_TEXT, TG_DYNAMIC, TG_UNDOCUMENTED, TG_L2, TG_NN_OVER_FEATURES_USE]","Простой BM25 по парам слов - берем все пары слов запроса и считаем число их вхождений в текст документа. Вес =1. Комм Не работает, если в запросе есть стоп-слово",gulin,gulin,Simple BM25 by word pairs - take all pairs of query words and count the number of their occurrences in the text of the document. Weight =1. Comm Doesn't work if query has stop word,True,,,True,,TextBM25,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,FI_AURA_DOC_LOG_SHARED,AuraDocLogShared,,,"[TG_DOC, TG_DOC_TEXT, TG_STATIC, TG_UNDOCUMENTED, TG_L2, TG_SAMOHOD_UNIMPLEMENTED, TG_CALLISTO_UNIMPLEMENTED, TG_DEPRECATED]","Логарифм числа шинглов, на которых данный документ не уникален",antonovvk,"[""antonovvk"", ""smax""]",The logarithm of the number of shingles on which a given document is not unique,True,,True,True,,,True,,,True,,,True,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,FI_AURA_DOC_LOG_AUTHOR,AuraDocLogAuthor,,,"[TG_DOC, TG_DOC_TEXT, TG_STATIC, TG_REARR_USE, TG_UNDOCUMENTED, TG_L2, TG_SAMOHOD_UNIMPLEMENTED, TG_CALLISTO_UNIMPLEMENTED, TG_DEPRECATED]","Логарифм числа шинглов, на которых данный владелец документа признан автором",antonovvk,"[""antonovvk"", ""smax""]",The logarithm of the number of shingles on which a given document owner is recognized as an author,True,,True,True,,,True,,True,True,,,True,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
